id,title,num_list_users
5114,Fullmetal Alchemist: Brotherhood,2889889
28977,Gintama°,536195
9253,Steins;Gate,2242732
38524,Shingeki no Kyojin Season 3 Part 2,1844155
9969,Gintama',472658
11061,Hunter x Hunter (2011),2377954
42938,Fruits Basket: The Final,349590
15417,Gintama': Enchousen,281883
50265,Spy x Family,752806
820,Ginga Eiyuu Densetsu,280299
34096,Gintama.,268782
35180,3-gatsu no Lion 2nd Season,352493
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,483678
918,Gintama,944880
28851,Koe no Katachi,1969466
37987,Violet Evergarden Movie,440354
4181,Clannad: After Story,1081061
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,210377
2904,Code Geass: Hangyaku no Lelouch R2,1569701
47778,Kimetsu no Yaiba: Yuukaku-hen,885876
32281,Kimi no Na wa.,2360255
48583,Shingeki no Kyojin: The Final Season Part 2,865325
40028,Shingeki no Kyojin: The Final Season,1592913
19,Monster,855380
37510,Mob Psycho 100 II,1237277
36838,Gintama.: Shirogane no Tamashii-hen,177875
40682,Kingdom 3rd Season,69956
31758,Kizumonogatari III: Reiketsu-hen,403522
44074,Shiguang Dailiren,211744
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,1036684
17074,Monogatari Series: Second Season,610787
199,Sen to Chihiro no Kamikakushi,1612506
1,Cowboy Bebop,1617259
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,169630
24701,Mushishi Zoku Shou 2nd Season,236924
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,593305
46102,Odd Taxi,309251
263,Hajime no Ippo,482514
37521,Vinland Saga,1099816
21939,Mushishi Zoku Shou,269786
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,257473
48569,86 Part 2,308960
2921,Ashita no Joe 2,41791
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,274595
1575,Code Geass: Hangyaku no Lelouch,1990835
245,Great Teacher Onizuka,725732
40434,Mo Dao Zu Shi: Wanjie Pian,56676
164,Mononoke Hime,1096751
40748,Jujutsu Kaisen (TV),1868038
34599,Made in Abyss,1136045
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,326241
457,Mushishi,740748
33352,Violet Evergarden,1507383
23273,Shigatsu wa Kimi no Uso,1937802
5258,Hajime no Ippo: New Challenger,242704
431,Howl no Ugoku Shiro,1130075
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,1151173
28891,Haikyuu!! Second Season,1241110
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,1080174
11665,Natsume Yuujinchou Shi,223032
21,One Piece,1884603
3786,Evangelion: 3.0+1.0 Thrice Upon a Time,292764
34591,Natsume Yuujinchou Roku,164657
40834,Ousama Ranking,416524
2001,Tengen Toppa Gurren Lagann,1447572
22135,Ping Pong the Animation,342621
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,585663
35760,Shingeki no Kyojin Season 3,1964718
7311,Suzumiya Haruhi no Shoushitsu,560521
1535,Death Note,3411970
28957,Mushishi Zoku Shou: Suzu no Shizuku,114957
12355,Ookami Kodomo no Ame to Yuki,736393
19647,Hajime no Ippo: Rising,215907
31757,Kizumonogatari II: Nekketsu-hen,392948
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,840937
32983,Natsume Yuujinchou Go,163912
10379,Natsume Yuujinchou San,230131
28735,Shouwa Genroku Rakugo Shinjuu,265660
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,194446
7785,Yojouhan Shinwa Taikei,392155
11741,Fate/Zero 2nd Season,1004369
40417,Fruits Basket 2nd Season,401103
36098,Kimi no Suizou wo Tabetai,770002
40664,Shoujo☆Kageki Revue Starlight Movie,10244
21329,Mushishi: Hihamukage,124814
32,Neon Genesis Evangelion: The End of Evangelion,789661
5300,Zoku Natsume Yuujinchou,227169
12365,Bakuman. 3rd Season,306381
38000,Kimetsu no Yaiba,2440694
40776,Haikyuu!! To the Top Part 2,654072
4282,Kara no Kyoukai Movie 5: Mujun Rasen,219057
33,Kenpuu Denki Berserk,539871
170,Slam Dunk,255644
35839,Sora yori mo Tooi Basho,438979
37779,Yakusoku no Neverland,1689456
16498,Shingeki no Kyojin,3428988
38474,Yuru Camp△ Season 2,180104
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,322886
35843,Gintama.: Porori-hen,173507
48561,Jujutsu Kaisen 0 Movie,410179
7472,Gintama Movie 1: Shinyaku Benizakura-hen,145694
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,211099
877,Nana,549459
437,Perfect Blue,567046
30484,Steins;Gate 0,761197
30276,One Punch Man,2799869
12431,Uchuu Kyoudai,175661
30654,Ansatsu Kyoushitsu 2nd Season,1234990
578,Hotaru no Haka,577537
3297,Aria the Origination,115368
36649,Banana Fish,713851
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,935609
49721,Karakai Jouzu no Takagi-san 3,133033
205,Samurai Champloo,1102226
25777,Shingeki no Kyojin Season 2,2320450
6114,Rainbow: Nisha Rokubou no Shichinin,358859
32182,Mob Psycho 100,1731679
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,701327
37379,Chihayafuru 3,119677
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,639729
37208,Mo Dao Zu Shi,192978
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,338314
10165,Nichijou,788130
31181,Owarimonogatari,434665
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,535263
36999,Zoku Owarimonogatari,197547
40787,Josee to Tora to Sakana-tachi,297714
40059,Golden Kamuy 3rd Season,126581
20583,Haikyuu!!,1697578
38450,Mo Dao Zu Shi: Xian Yun Pian,84934
36885,Saenai Heroine no Sodatekata Fine,150797
46095,Vivy: Fluorite Eye's Song,421805
392,Yuu☆Yuu☆Hakusho,598959
34612,Saiki Kusuo no Ψ-nan 2,539295
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,933080
37105,Grand Blue,640579
38889,Kono Oto Tomare! Part 2,138584
467,Koukaku Kidoutai: Stand Alone Complex,365964
2246,Mononoke,277627
33255,Saiki Kusuo no Ψ-nan,919420
5028,Major S5,65518
48653,Yoru ni Kakeru,13164
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,60494
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,358547
