number,target_id,target_title,source_id,source_title
101,11061,Hunter x Hunter (2011),5114,Fullmetal Alchemist: Brotherhood
39,16498,Shingeki no Kyojin,5114,Fullmetal Alchemist: Brotherhood
23,1482,D.Gray-man,5114,Fullmetal Alchemist: Brotherhood
17,9919,Ao no Exorcist,5114,Fullmetal Alchemist: Brotherhood
15,1575,Code Geass: Hangyaku no Lelouch,5114,Fullmetal Alchemist: Brotherhood
15,2251,Baccano!,5114,Fullmetal Alchemist: Brotherhood
14,38000,Kimetsu no Yaiba,5114,Fullmetal Alchemist: Brotherhood
10,22199,Akame ga Kill!,5114,Fullmetal Alchemist: Brotherhood
9,23755,Nanatsu no Taizai,5114,Fullmetal Alchemist: Brotherhood
9,1735,Naruto: Shippuuden,5114,Fullmetal Alchemist: Brotherhood
3,9863,SKET Dance,28977,Gintama°
2,30276,One Punch Man,28977,Gintama°
2,37105,Grand Blue,28977,Gintama°
2,6347,Baka to Test to Shoukanjuu,28977,Gintama°
2,33255,Saiki Kusuo no Ψ-nan,28977,Gintama°
1,32937,Kono Subarashii Sekai ni Shukufuku wo! 2,28977,Gintama°
1,31339,Drifters,28977,Gintama°
1,36548,Kokkoku,28977,Gintama°
1,20507,Noragami,28977,Gintama°
1,31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,28977,Gintama°
126,31240,Re:Zero kara Hajimeru Isekai Seikatsu,9253,Steins;Gate
124,31043,Boku dake ga Inai Machi,9253,Steins;Gate
45,9756,Mahou Shoujo Madoka★Magica,9253,Steins;Gate
27,10620,Mirai Nikki (TV),9253,Steins;Gate
23,2236,Toki wo Kakeru Shoujo,9253,Steins;Gate
19,1210,NHK ni Youkoso!,9253,Steins;Gate
15,1535,Death Note,9253,Steins;Gate
14,46095,Vivy: Fluorite Eye's Song,9253,Steins;Gate
14,934,Higurashi no Naku Koro ni,9253,Steins;Gate
14,1889,Higurashi no Naku Koro ni Kai,9253,Steins;Gate
2,37521,Vinland Saga,38524,Shingeki no Kyojin Season 3 Part 2
2,28623,Koutetsujou no Kabaneri,38524,Shingeki no Kyojin Season 3 Part 2
1,35557,Houseki no Kuni (TV),38524,Shingeki no Kyojin Season 3 Part 2
1,31240,Re:Zero kara Hajimeru Isekai Seikatsu,38524,Shingeki no Kyojin Season 3 Part 2
1,2904,Code Geass: Hangyaku no Lelouch R2,38524,Shingeki no Kyojin Season 3 Part 2
1,40682,Kingdom 3rd Season,38524,Shingeki no Kyojin Season 3 Part 2
1,26243,Owari no Seraph,38524,Shingeki no Kyojin Season 3 Part 2
1,32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,38524,Shingeki no Kyojin Season 3 Part 2
4,9863,SKET Dance,9969,Gintama'
3,11843,Danshi Koukousei no Nichijou,9969,Gintama'
2,15809,Hataraku Maou-sama!,9969,Gintama'
1,16211,Bakumatsu Gijinden Roman,9969,Gintama'
1,7647,Arakawa Under the Bridge,9969,Gintama'
1,9513,Beelzebub,9969,Gintama'
1,249,InuYasha,9969,Gintama'
1,6547,Angel Beats!,9969,Gintama'
1,24,School Rumble,9969,Gintama'
1,269,Bleach,9969,Gintama'
101,5114,Fullmetal Alchemist: Brotherhood,11061,Hunter x Hunter (2011)
65,21,One Piece,11061,Hunter x Hunter (2011)
55,392,Yuu☆Yuu☆Hakusho,11061,Hunter x Hunter (2011)
40,20,Naruto,11061,Hunter x Hunter (2011)
27,34599,Made in Abyss,11061,Hunter x Hunter (2011)
26,31964,Boku no Hero Academia,11061,Hunter x Hunter (2011)
26,40221,Kami no Tou,11061,Hunter x Hunter (2011)
25,14719,JoJo no Kimyou na Bouken (TV),11061,Hunter x Hunter (2011)
20,14513,Magi: The Labyrinth of Magic,11061,Hunter x Hunter (2011)
15,40748,Jujutsu Kaisen (TV),11061,Hunter x Hunter (2011)
6,4181,Clannad: After Story,42938,Fruits Basket: The Final
2,33352,Violet Evergarden,42938,Fruits Basket: The Final
2,45577,IDOLiSH7: Third Beat!,42938,Fruits Basket: The Final
1,9656,Kimi ni Todoke 2nd Season,42938,Fruits Basket: The Final
1,16067,Nagi no Asu kara,42938,Fruits Basket: The Final
1,33899,IDOLiSH7,42938,Fruits Basket: The Final
1,23273,Shigatsu wa Kimi no Uso,42938,Fruits Basket: The Final
1,30123,Akagami no Shirayuki-hime,42938,Fruits Basket: The Final
1,31646,3-gatsu no Lion,42938,Fruits Basket: The Final
1,20507,Noragami,42938,Fruits Basket: The Final
2,14765,Ixion Saga DT,15417,Gintama': Enchousen
1,11843,Danshi Koukousei no Nichijou,15417,Gintama': Enchousen
1,9863,SKET Dance,15417,Gintama': Enchousen
1,114,Sakigake!! Cromartie Koukou,15417,Gintama': Enchousen
1,4181,Clannad: After Story,15417,Gintama': Enchousen
7,35240,Princess Principal,50265,Spy x Family
7,36296,Hinamatsuri (TV),50265,Spy x Family
6,37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,50265,Spy x Family
5,71,Full Metal Panic!,50265,Spy x Family
4,41120,Fugou Keiji: Balance:Unlimited,50265,Spy x Family
3,40052,Great Pretender,50265,Spy x Family
3,40716,Kakushigoto (TV),50265,Spy x Family
2,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,50265,Spy x Family
2,39324,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",50265,Spy x Family
2,2251,Baccano!,50265,Spy x Family
22,1575,Code Geass: Hangyaku no Lelouch,820,Ginga Eiyuu Densetsu
10,19,Monster,820,Ginga Eiyuu Densetsu
9,1535,Death Note,820,Ginga Eiyuu Densetsu
9,338,Versailles no Bara,820,Ginga Eiyuu Densetsu
8,4066,Tytania,820,Ginga Eiyuu Densetsu
8,20785,Mahouka Koukou no Rettousei,820,Ginga Eiyuu Densetsu
8,12029,Uchuu Senkan Yamato 2199,820,Ginga Eiyuu Densetsu
7,33,Kenpuu Denki Berserk,820,Ginga Eiyuu Densetsu
5,290,Seikai no Monshou,820,Ginga Eiyuu Densetsu
4,2158,Terra e... (TV),820,Ginga Eiyuu Densetsu
2,9863,SKET Dance,34096,Gintama.
1,1,Cowboy Bebop,34096,Gintama.
1,37105,Grand Blue,34096,Gintama.
1,38161,Kabukichou Sherlock,34096,Gintama.
1,132,GetBackers,34096,Gintama.
1,205,Samurai Champloo,34096,Gintama.
3,4181,Clannad: After Story,35180,3-gatsu no Lion 2nd Season
3,23273,Shigatsu wa Kimi no Uso,35180,3-gatsu no Lion 2nd Season
1,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,35180,3-gatsu no Lion 2nd Season
1,45577,IDOLiSH7: Third Beat!,35180,3-gatsu no Lion 2nd Season
1,16,Hachimitsu to Clover,35180,3-gatsu no Lion 2nd Season
1,795,Oniisama e...,35180,3-gatsu no Lion 2nd Season
1,32828,Amaama to Inazuma,35180,3-gatsu no Lion 2nd Season
1,22789,Barakamon,35180,3-gatsu no Lion 2nd Season
1,28851,Koe no Katachi,35180,3-gatsu no Lion 2nd Season
1,4081,Natsume Yuujinchou,35180,3-gatsu no Lion 2nd Season
1,24,School Rumble,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
1,38101,5-toubun no Hanayome,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
1,38483,Ore wo Suki nano wa Omae dake ka yo,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
1,35968,Wotaku ni Koi wa Muzukashii,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
61,9863,SKET Dance,918,Gintama
52,11843,Danshi Koukousei no Nichijou,918,Gintama
38,33255,Saiki Kusuo no Ψ-nan,918,Gintama
24,21,One Piece,918,Gintama
20,9513,Beelzebub,918,Gintama
15,45,Rurouni Kenshin: Meiji Kenkaku Romantan,918,Gintama
14,30276,One Punch Man,918,Gintama
14,245,Great Teacher Onizuka,918,Gintama
14,2026,Hayate no Gotoku!,918,Gintama
14,1,Cowboy Bebop,918,Gintama
47,32281,Kimi no Na wa.,28851,Koe no Katachi
25,28725,Kokoro ga Sakebitagatterunda.,28851,Koe no Katachi
24,40787,Josee to Tora to Sakana-tachi,28851,Koe no Katachi
21,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,28851,Koe no Katachi
18,36098,Kimi no Suizou wo Tabetai,28851,Koe no Katachi
13,33352,Violet Evergarden,28851,Koe no Katachi
8,23273,Shigatsu wa Kimi no Uso,28851,Koe no Katachi
7,31646,3-gatsu no Lion,28851,Koe no Katachi
6,8142,Colorful (Movie),28851,Koe no Katachi
5,4181,Clannad: After Story,28851,Koe no Katachi
2,32281,Kimi no Na wa.,37987,Violet Evergarden Movie
1,2623,Flanders no Inu (Movie),37987,Violet Evergarden Movie
1,28851,Koe no Katachi,37987,Violet Evergarden Movie
1,33378,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",37987,Violet Evergarden Movie
1,35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,37987,Violet Evergarden Movie
40,23273,Shigatsu wa Kimi no Uso,4181,Clannad: After Story
34,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,4181,Clannad: After Story
29,6547,Angel Beats!,4181,Clannad: After Story
17,3731,Itazura na Kiss,4181,Clannad: After Story
15,1530,Kanon (2006),4181,Clannad: After Story
14,18195,Little Busters!: Refrain,4181,Clannad: After Story
12,10162,Usagi Drop,4181,Clannad: After Story
9,1689,Byousoku 5 Centimeter,4181,Clannad: After Story
7,2926,Myself; Yourself,4181,Clannad: After Story
7,147,Kimi ga Nozomu Eien,4181,Clannad: After Story
2,7311,Suzumiya Haruhi no Shoushitsu,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
2,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
1,38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
1,13667,Naruto: Shippuuden Movie 6 - Road to Ninja,15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
49,1535,Death Note,2904,Code Geass: Hangyaku no Lelouch R2
8,10793,Guilty Crown,2904,Code Geass: Hangyaku no Lelouch R2
3,16498,Shingeki no Kyojin,2904,Code Geass: Hangyaku no Lelouch R2
3,1,Cowboy Bebop,2904,Code Geass: Hangyaku no Lelouch R2
3,820,Ginga Eiyuu Densetsu,2904,Code Geass: Hangyaku no Lelouch R2
3,9253,Steins;Gate,2904,Code Geass: Hangyaku no Lelouch R2
3,2581,Mobile Suit Gundam 00,2904,Code Geass: Hangyaku no Lelouch R2
3,40028,Shingeki no Kyojin: The Final Season,2904,Code Geass: Hangyaku no Lelouch R2
2,2025,Darker than Black: Kuro no Keiyakusha,2904,Code Geass: Hangyaku no Lelouch R2
2,156,X,2904,Code Geass: Hangyaku no Lelouch R2
2,40748,Jujutsu Kaisen (TV),47778,Kimetsu no Yaiba: Yuukaku-hen
1,44942,Shuumatsu no Walküre,47778,Kimetsu no Yaiba: Yuukaku-hen
1,14719,JoJo no Kimyou na Bouken (TV),47778,Kimetsu no Yaiba: Yuukaku-hen
1,37936,Wu Shan Wu Xing (2020),47778,Kimetsu no Yaiba: Yuukaku-hen
67,38826,Tenki no Ko,32281,Kimi no Na wa.
47,28851,Koe no Katachi,32281,Kimi no Na wa.
31,11887,Kokoro Connect,32281,Kimi no Na wa.
19,1689,Byousoku 5 Centimeter,32281,Kimi no Na wa.
16,2236,Toki wo Kakeru Shoujo,32281,Kimi no Na wa.
10,36098,Kimi no Suizou wo Tabetai,32281,Kimi no Na wa.
10,16782,Kotonoha no Niwa,32281,Kimi no Na wa.
10,28999,Charlotte,32281,Kimi no Na wa.
9,23273,Shigatsu wa Kimi no Uso,32281,Kimi no Na wa.
8,35466,ReLIFE: Kanketsu-hen,32281,Kimi no Na wa.
3,5114,Fullmetal Alchemist: Brotherhood,48583,Shingeki no Kyojin: The Final Season Part 2
2,48569,86 Part 2,48583,Shingeki no Kyojin: The Final Season Part 2
2,820,Ginga Eiyuu Densetsu,48583,Shingeki no Kyojin: The Final Season Part 2
2,1575,Code Geass: Hangyaku no Lelouch,48583,Shingeki no Kyojin: The Final Season Part 2
1,41457,86,48583,Shingeki no Kyojin: The Final Season Part 2
1,22319,Tokyo Ghoul,48583,Shingeki no Kyojin: The Final Season Part 2
1,32,Neon Genesis Evangelion: The End of Evangelion,48583,Shingeki no Kyojin: The Final Season Part 2
1,22199,Akame ga Kill!,48583,Shingeki no Kyojin: The Final Season Part 2
1,24833,Ansatsu Kyoushitsu,48583,Shingeki no Kyojin: The Final Season Part 2
1,26243,Owari no Seraph,48583,Shingeki no Kyojin: The Final Season Part 2
8,32615,Youjo Senki,40028,Shingeki no Kyojin: The Final Season
6,41457,86,40028,Shingeki no Kyojin: The Final Season
4,820,Ginga Eiyuu Densetsu,40028,Shingeki no Kyojin: The Final Season
3,2904,Code Geass: Hangyaku no Lelouch R2,40028,Shingeki no Kyojin: The Final Season
3,1575,Code Geass: Hangyaku no Lelouch,40028,Shingeki no Kyojin: The Final Season
3,37521,Vinland Saga,40028,Shingeki no Kyojin: The Final Season
2,28623,Koutetsujou no Kabaneri,40028,Shingeki no Kyojin: The Final Season
2,38000,Kimetsu no Yaiba,40028,Shingeki no Kyojin: The Final Season
2,22535,Kiseijuu: Sei no Kakuritsu,40028,Shingeki no Kyojin: The Final Season
2,5114,Fullmetal Alchemist: Brotherhood,40028,Shingeki no Kyojin: The Final Season
102,1535,Death Note,19,Monster
15,13601,Psycho-Pass,19,Monster
14,239,Gankutsuou,19,Monster
13,23283,Zankyou no Terror,19,Monster
10,820,Ginga Eiyuu Densetsu,19,Monster
10,33,Kenpuu Denki Berserk,19,Monster
7,6114,Rainbow: Nisha Rokubou no Shichinin,19,Monster
6,37525,Babylon,19,Monster
6,3002,Gyakkyou Burai Kaiji: Ultimate Survivor,19,Monster
6,5114,Fullmetal Alchemist: Brotherhood,19,Monster
6,33255,Saiki Kusuo no Ψ-nan,37510,Mob Psycho 100 II
6,30276,One Punch Man,37510,Mob Psycho 100 II
2,24439,Kekkai Sensen,37510,Mob Psycho 100 II
1,36593,Hug tto! Precure,37510,Mob Psycho 100 II
1,9513,Beelzebub,37510,Mob Psycho 100 II
1,42625,Heion Sedai no Idaten-tachi,37510,Mob Psycho 100 II
1,34612,Saiki Kusuo no Ψ-nan 2,37510,Mob Psycho 100 II
1,30,Neon Genesis Evangelion,37510,Mob Psycho 100 II
1,16241,"Yondemasu yo, Azazel-san. Z",37510,Mob Psycho 100 II
1,34134,One Punch Man 2nd Season,37510,Mob Psycho 100 II
1,5114,Fullmetal Alchemist: Brotherhood,36838,Gintama.: Shirogane no Tamashii-hen
1,37521,Vinland Saga,40682,Kingdom 3rd Season
1,12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,40682,Kingdom 3rd Season
1,38524,Shingeki no Kyojin Season 3 Part 2,40682,Kingdom 3rd Season
1,40028,Shingeki no Kyojin: The Final Season,40682,Kingdom 3rd Season
1,18115,Magi: The Kingdom of Magic,40682,Kingdom 3rd Season
1,31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,40682,Kingdom 3rd Season
4,33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,31758,Kizumonogatari III: Reiketsu-hen
2,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,31758,Kizumonogatari III: Reiketsu-hen
1,22319,Tokyo Ghoul,31758,Kizumonogatari III: Reiketsu-hen
1,875,Mind Game,31758,Kizumonogatari III: Reiketsu-hen
